product_area,location_country,supplier_name,location_region,onboard_date_v2,sla_end_to_end_exclude_weekend1,wo_adv_std_include_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,4,3,1,0,1
Global Affairs (w/o T&S),India,ACCENTURE PLC,APAC,2025-04-29,4,1,3,0,3
Technical Infrastructure,Utd.Arab Emir.,IRON SYSTEMS INC,EMEA,2025-05-02,8,2,6,0,6
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,ADECCO GROUP AG,NORTH AMERICA,2025-04-27,8,7,5,0,5
gTech,Portugal,CONCENTRIX,EMEA,2025-04-21,3,5,0,0,0
gTech,India,VACO,APAC,2025-04-29,5,2,3,0,3
REWS,null,SODEXO,APAC,2025-04-24,3,3,0,0,0
Cloud,Philippines,ACCENTURE PLC,APAC,2025-04-24,8,1,7,6,1
Devices & Services,Ireland,ACCENTURE PLC,EMEA,2025-04-24,5,4,3,1,2
Cloud,United States,SERVICESOURCE INTERNATIONAL INC,NORTH AMERICA,2025-05-02,12,1,11,0,11
T&S,India,WIPRO LIMITED,APAC,2025-04-30,3,3,2,0,2
Platforms + Ecosystems,India,MARKETSTAR CORPORATION,APAC,2025-04-30,4,5,1,1,0
REWS,United States,SODEXO,NORTH AMERICA,2025-04-28,3,5,0,0,0
Geo,India,WIPRO LIMITED,APAC,2025-05-01,5,5,2,2,0
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-24,3,1,2,1,1
REWS,India,COMPASS GROUP PLC,APAC,2025-04-21,3,5,0,0,0
gTech,Greece,TELEPERFORMANCE SE,EMEA,2025-04-22,9,2,7,1,6
YouTube,India,CONCENTRIX,APAC,2025-04-30,2,3,0,0,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-21,1,3,0,0,0
Cloud,India,BRISTLECONE INC.,APAC,2025-04-30,11,1,10,0,10
REWS,Mexico,SODEXO,LATAM,2025-04-21,3,5,0,0,0
T&S,India,ACCENTURE PLC,APAC,2025-04-25,4,2,2,1,1
YouTube,India,ACCENTURE PLC,APAC,2025-04-27,7,5,4,1,3
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-28,6,4,4,4,0
Ads & Commerce,United States,EPAM SYSTEMS INC,NORTH AMERICA,2025-04-30,3,4,1,0,1
REWS,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-01,7,3,4,3,1
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,2,1,1,0,1
REWS,India,SODEXO,APAC,2025-04-22,1,1,0,0,0
Corp Eng,United States,ASTREYA PARTNERS INC,NORTH AMERICA,2025-04-21,2,4,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,2,5,0,5
REWS,India,JAGUAR SECURITY SERVICES PVT. LTD.,APAC,2025-04-22,3,1,2,0,2
gCS,India,ACCENTURE PLC,APAC,2025-04-22,5,1,4,0,4
Devices & Services,United States,"EMBEDDED RESOURCE GROUP, INC.",NORTH AMERICA,2025-04-23,7,3,4,0,4
T&S,India,WIPRO LIMITED,APAC,2025-04-27,4,1,3,0,3
Technical Infrastructure,United States,THE WHITING TURNER CONTRACTING COMPANY,NORTH AMERICA,2025-04-21,12,4,10,0,10
Technical Infrastructure,Finland,ADECCO GROUP AG,EMEA,2025-04-28,8,5,5,4,1
Technical Infrastructure,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-01,3,3,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,3,4,4,0
Finance,India,KPMG,APAC,2025-04-25,4,2,2,0,2
Marketing,United States,"MAGNIT, LLC",NORTH AMERICA,2025-05-01,6,7,3,2,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-04-25,3,3,0,0,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-24,3,2,2,1,1
gTech,Brazil,ACCENTURE PLC,LATAM,2025-04-23,5,2,3,2,1
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-23,8,5,5,4,1
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-04-25,14,4,10,10,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
Technical Infrastructure,India,MOTIVITY LABS INC,APAC,2025-04-28,5,4,1,0,1
REWS,United States,COMPASS GROUP PLC,NORTH AMERICA,2025-05-01,3,3,0,0,0
REWS,United States,ELECTROSONIC LIMITED,NORTH AMERICA,2025-04-28,3,5,0,0,0
gCS,India,REGALIX INC,APAC,2025-04-25,4,3,1,1,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-22,11,2,9,8,1
Marketing,United Kingdom,JELLYFISH GROUP LTD,EMEA,2025-04-25,13,2,11,9,2
gTech,Brazil,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,LATAM,2025-04-22,4,1,3,3,0
Technical Infrastructure,India,INDIGO TELECOM GROUP LTD,APAC,2025-05-01,3,3,0,0,0
gTech,Japan,ACCENTURE PLC,APAC,2025-04-21,5,2,3,1,2
REWS,India,COMPASS GROUP PLC,APAC,2025-04-28,3,5,0,0,0
Waymo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,1,3,0,0,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-29,10,3,7,3,4
REWS,null,SODEXO,APAC,2025-04-24,3,3,0,0,0
POps,India,KORN FERRY INTERNATIONAL,APAC,2025-04-25,4,1,3,2,1
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,0,1
YouTube,Malaysia,ACCENTURE PLC,APAC,2025-04-28,3,2,1,0,1
POps,India,RANDSTAD NV,APAC,2025-04-24,10,4,8,0,8
Corp Eng,India,EPAM SYSTEMS INC,APAC,2025-04-24,2,2,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-29,2,4,0,0,0
YouTube,Portugal,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-23,7,2,5,5,0
REWS,India,G4S PLC,APAC,2025-04-24,1,1,0,0,0
YouTube,India,CONCENTRIX,APAC,2025-04-24,4,4,2,0,2
YouTube,India,ACCENTURE PLC,APAC,2025-04-22,7,4,5,0,5
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,3,4,1,3
Geo,India,TECH MAHINDRA LIMITED,APAC,2025-04-24,6,6,2,0,2
Devices & Services,India,QUEST GLOBAL SERVICES PTE. LTD.,APAC,2025-04-22,4,6,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-05-01,4,5,1,0,1
REWS,Spain,COMPASS GROUP PLC,EMEA,2025-04-25,15,11,8,4,4
Devices & Services,Taiwan,TEZERAKT LLC,APAC,2025-04-30,4,5,1,0,1
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-22,1,1,0,0,0
Cloud,Philippines,ACCENTURE PLC,APAC,2025-04-28,3,2,1,0,1
Geo,India,WIPRO LIMITED,APAC,2025-04-28,2,4,0,0,0
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-21,5,2,3,0,3
YouTube,India,CONCENTRIX,APAC,2025-04-21,3,2,1,1,0
Devices & Services,India,INFOSYS,APAC,2025-04-24,2,1,1,0,1
REWS,India,COMPASS GROUP PLC,APAC,2025-04-21,3,5,0,0,0
T&S,India,CONCENTRIX,APAC,2025-04-21,4,1,3,1,2
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
T&S,India,WIPRO LIMITED,APAC,2025-04-25,2,2,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-24,4,4,2,2,0
Cloud,El Salvador,SERVICESOURCE INTERNATIONAL INC,LATAM,2025-04-28,3,5,0,0,0
T&S,India,ACCENTURE PLC,APAC,2025-04-28,5,2,3,1,2
YouTube,Philippines,TECH MAHINDRA LIMITED,APAC,2025-05-02,11,4,9,0,9
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-28,5,3,2,2,0
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-22,1,1,0,0,0
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-24,3,2,1,0,1
gTech,United States,DELOITTE,NORTH AMERICA,2025-04-22,9,2,7,3,4
gTech,Colombia,CONCENTRIX,LATAM,2025-04-28,3,2,1,0,1
Technical Infrastructure,Singapore,LANTROVISION (S) LTD,APAC,2025-04-27,12,5,9,0,9
Geo,India,ACCENTURE PLC,APAC,2025-04-30,4,4,2,0,2
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-25,3,2,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-04-28,4,1,3,0,3
Technical Infrastructure,United States,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,2025-04-30,4,4,2,2,0
Technical Infrastructure,null,ALPHA SERVICES CORPORATION,NORTH AMERICA,2025-04-29,3,5,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-23,1,1,0,0,0
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-04-30,10,6,6,0,6
YouTube,India,CONCENTRIX,APAC,2025-04-22,6,3,3,1,2
gCS,India,REGALIX INC,APAC,2025-04-24,3,3,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
YouTube,India,WIPRO LIMITED,APAC,2025-04-21,5,2,4,2,2
Geo,India,ACCENTURE PLC,APAC,2025-04-28,5,2,3,2,1
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-04-24,7,2,5,0,5
Core (w/o Corp Eng),United States,"TECHNOLOGY RESOURCE SOLUTIONS, INC. D/B/A SYNERGIS (VENDOR)",NORTH AMERICA,2025-04-27,6,6,2,1,1
Waymo,United States,ABM INDUSTRIES INCORPORATED,NORTH AMERICA,2025-04-29,3,5,0,0,0
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-27,5,2,3,0,3
POps,Poland,RANDSTAD NV,EMEA,2025-04-25,3,2,1,0,1
Geo,India,WIPRO LIMITED,APAC,2025-04-28,2,4,0,0,0
gCS,India,REGALIX INC,APAC,2025-04-24,3,2,1,0,1
Marketing,United States,DELOITTE,NORTH AMERICA,2025-04-22,2,4,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-25,2,2,0,0,0
Technical Infrastructure,United States,M A MORTENSON COMPANY,NORTH AMERICA,2025-05-01,14,4,12,1,11
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-22,5,3,2,2,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
Search,India,ACCENTURE PLC,APAC,2025-04-24,6,8,0,0,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-05-02,3,3,0,0,0
REWS,null,PROPARK AMERICA WEST LLC,NORTH AMERICA,2025-04-29,3,5,0,0,0
YouTube,India,GENPACT LIMITED,APAC,2025-04-28,3,2,1,1,0
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-25,3,2,1,0,1
Search,null,"TASKUS, INC.",APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,2025-04-21,3,5,0,0,0
Marketing,Colombia,HUGE LLC,LATAM,2025-04-29,13,4,11,2,9
REWS,United States,KPMG,NORTH AMERICA,2025-04-24,10,4,8,0,8
Geo,India,WIPRO LIMITED,APAC,2025-04-28,3,5,0,0,0
T&S,India,WIPRO LIMITED,APAC,2025-04-23,4,1,3,1,2
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-29,8,5,5,3,2
YouTube,India,CONCENTRIX,APAC,2025-04-25,5,4,3,0,3
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-23,2,null,2,2,0
GBO (w/o gTech & gCS),India,ACCENTURE PLC,APAC,2025-04-24,2,1,1,1,0
gCS,India,ACCENTURE PLC,APAC,2025-04-21,8,1,7,7,0
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-05-01,7,6,3,0,3
gTech,India,QUALITEST,APAC,2025-04-28,4,6,0,0,0
YouTube,Philippines,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-22,3,4,1,1,0
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-28,1,3,0,0,0
YouTube,Portugal,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,2025-04-23,7,2,5,3,2
Technical Infrastructure,Uruguay,ANCHORBUOY LIMITED,LATAM,2025-04-30,17,2,15,14,1
T&S,India,ACCENTURE PLC,APAC,2025-04-21,4,1,3,1,2
YouTube,India,WIPRO LIMITED,APAC,2025-04-27,2,1,1,0,1
Technical Infrastructure,Netherlands,SYNCREON GLOBAL HOLDINGS LIMITED,EMEA,2025-04-28,4,6,0,0,0
REWS,India,CBRE GROUP INC,APAC,2025-04-29,3,5,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-25,3,2,1,0,1
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
T&S,India,CONCENTRIX,APAC,2025-04-25,4,3,1,1,0
GBO (w/o gTech & gCS),United States,TIER1 IMPACT PBC INC DBA TIER1 PERFORMANCE,NORTH AMERICA,2025-04-29,8,5,5,5,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-30,6,3,3,0,3
Cloud,United States,CARAHSOFT TECHNOLOGY CORP,NORTH AMERICA,2025-05-02,3,3,0,0,0
Technical Infrastructure,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-21,4,3,1,1,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-02,7,5,4,0,4
Geo,Poland,ACCENTURE PLC,EMEA,2025-04-23,9,5,6,0,6
T&S,India,WIPRO LIMITED,APAC,2025-04-25,3,1,2,0,2
T&S,Philippines,ACCENTURE PLC,APAC,2025-04-29,10,3,7,4,3
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,5,6,1,0,1
T&S,India,WIPRO LIMITED,APAC,2025-04-28,7,1,6,6,0
Technical Infrastructure,United States,TURNER & TOWNSEND PARTNERS LLP,NORTH AMERICA,2025-04-24,12,3,9,0,9
Waymo,United States,"TASKUS, INC.",NORTH AMERICA,2025-04-23,2,1,1,0,1
gCS,India,TELEDIRECT PTE LTD,APAC,2025-05-02,4,3,1,1,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-23,6,2,4,4,0
GBO (w/o gTech & gCS),United States,TIER1 IMPACT PBC INC DBA TIER1 PERFORMANCE,NORTH AMERICA,2025-04-24,5,5,2,2,0
Technical Infrastructure,United States,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,2025-04-29,3,5,0,0,0
Technical Infrastructure,United States,DIRECT LINE GLOBAL LLC,NORTH AMERICA,2025-04-29,2,4,0,0,0
gTech,Portugal,TELEPERFORMANCE SE,EMEA,2025-04-21,6,5,3,0,3
REWS,United States,ELECTROSONIC LIMITED,NORTH AMERICA,2025-04-29,4,6,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-30,5,5,2,2,0
Waymo,India,WIPRO LIMITED,APAC,2025-04-30,6,1,5,5,0
gTech,Portugal,TELEPERFORMANCE SE,EMEA,2025-04-23,5,1,4,3,1
Cloud,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,6,5,3,3,0
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-29,6,4,2,2,0
gCS,India,REGALIX INC,APAC,2025-04-25,4,3,1,1,0
Technical Infrastructure,United States,"ROONEY HOLDINGS, INC.",NORTH AMERICA,2025-05-01,3,3,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-04-24,15,15,4,4,0
Technical Infrastructure,null,CERTIFIED MAINTENANCE SERVICE INC.,NORTH AMERICA,2025-05-01,3,3,0,0,0
Technical Infrastructure,United States,TW CONSTRUCTORS LLC,NORTH AMERICA,2025-04-24,1,1,0,0,0
gTech,India,VIRTUSA CORPORATION,APAC,2025-04-25,3,2,1,1,0
Corp Eng,India,HCL TECHNOLOGIES LTD,APAC,2025-04-23,4,6,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-22,1,1,0,0,0
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,6,5,3,3,0
Technical Infrastructure,United States,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,2025-05-02,4,3,1,1,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-24,7,3,4,1,3
Technical Infrastructure,United States,C D MOODY CONSTRUCTION COMPANY INC,NORTH AMERICA,2025-04-24,3,3,0,0,0
gTech,United States,VACO,NORTH AMERICA,2025-04-30,5,6,1,1,0
YouTube,India,CONCENTRIX,APAC,2025-04-21,2,1,1,0,1
Technical Infrastructure,Switzerland,RM IT PROFESSIONAL RESOURCES AG,EMEA,2025-04-22,4,34,1,0,1
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-05-02,7,5,4,4,0
Devices & Services,United States,WIPRO LIMITED,NORTH AMERICA,2025-04-23,8,5,5,0,5
Search,India,VACO,APAC,2025-04-25,4,3,1,0,1
Technical Infrastructure,United States,VISION TECHNOLOGIES INC.,NORTH AMERICA,2025-04-21,8,5,5,0,5
Technical Infrastructure,United States,"ROONEY HOLDINGS, INC.",NORTH AMERICA,2025-05-01,3,3,0,0,0
Cloud,Mexico,TATA GROUP,LATAM,2025-04-25,4,3,1,0,1
gCS,Brazil,ATENTO S.A.,LATAM,2025-04-29,3,5,0,0,0
gTech,India,TELEPERFORMANCE SE,APAC,2025-04-22,5,1,4,1,3
POps,India,KORN FERRY INTERNATIONAL,APAC,2025-04-24,3,1,2,1,1
REWS,United States,JONES LANG LASALLE INC,NORTH AMERICA,2025-04-23,5,2,3,2,1
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-24,2,1,1,1,0
Cloud,India,BRISTLECONE INC.,APAC,2025-04-29,10,1,9,1,8
Waymo,United States,AMERIT FLEET SOLUTIONS INC.,NORTH AMERICA,2025-04-23,6,3,3,1,2
Technical Infrastructure,United States,"EPC PROJECT MANAGEMENT CONSULTING, LLC",NORTH AMERICA,2025-04-29,8,5,5,2,3
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
gTech,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-01,3,3,0,0,0
Geo,India,ACCENTURE PLC,APAC,2025-04-24,3,1,2,2,0
YouTube,India,ACCENTURE PLC,APAC,2025-04-21,6,3,5,1,4
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-23,6,2,4,4,0
Access,United States,IBEX HOLDINGS LIMITED,NORTH AMERICA,2025-05-02,6,5,3,0,3
Platforms + Ecosystems,India,VIRTUSA CORPORATION,APAC,2025-04-24,22,3,19,18,1
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-23,2,null,2,0,2
gCS,Brazil,TTEC HOLDINGS INC,LATAM,2025-04-28,5,4,1,0,1
Cloud,India,DELOITTE,APAC,2025-04-21,4,3,1,1,0
REWS,Philippines,JONES LANG LASALLE INC,APAC,2025-04-29,4,6,0,0,0
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,1,0
Technical Infrastructure,United States,"CBM OF AMERICA, INC. (VENDOR)",NORTH AMERICA,2025-04-28,11,4,9,1,8
gTech,Philippines,ALORICA INC,APAC,2025-04-22,8,5,5,4,1
REWS,null,SODEXO,APAC,2025-05-02,3,3,0,0,0
Technical Infrastructure,United States,SCHENKER,NORTH AMERICA,2025-05-01,6,1,5,5,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-21,4,1,3,3,0
REWS,India,SODEXO,APAC,2025-05-02,3,3,0,0,0
Geo,India,ACCENTURE PLC,APAC,2025-04-24,3,1,2,2,0
Finance,India,KPMG,APAC,2025-04-24,3,2,1,0,1
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-25,8,6,4,0,4
POps,India,ACCENTURE PLC,APAC,2025-04-25,3,2,1,1,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-21,4,6,0,0,0
Waymo,United States,METRO ONE LOSS PREVENTION SERVICES GROUP (GUARD DIVISION) INC,NORTH AMERICA,2025-04-23,9,6,5,3,2
T&S,India,WIPRO LIMITED,APAC,2025-04-29,8,5,5,4,1
Cloud,United States,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,NORTH AMERICA,2025-04-22,3,1,2,2,0
Technical Infrastructure,United States,VISION TECHNOLOGIES INC.,NORTH AMERICA,2025-04-30,11,1,10,10,0
Geo,Brazil,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,LATAM,2025-05-02,3,3,0,0,0
Geo,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-05-02,6,5,3,3,0
Global Affairs (w/o T&S),United States,"CONSILIO, INC",NORTH AMERICA,2025-04-28,7,4,5,0,5
Technical Infrastructure,Belgium,PM GROUP,EMEA,2025-04-23,6,3,3,2,1
Devices & Services,India,HCL TECHNOLOGIES LTD,APAC,2025-04-29,4,2,2,1,1
gCS,India,REGALIX INC,APAC,2025-04-23,2,2,0,0,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-25,3,3,0,0,0
Cloud,United States,MANTECH ADVANCED SYSTEMS INTERNATIONAL INC,NORTH AMERICA,2025-04-22,17,5,14,0,14
Technical Infrastructure,United States,SYNCREON GLOBAL HOLDINGS LIMITED,NORTH AMERICA,2025-04-29,6,2,4,3,1
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-23,2,2,0,0,0
Cloud,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-24,2,2,0,0,0
T&S,India,ACCENTURE PLC,APAC,2025-04-27,4,1,3,0,3
Technical Infrastructure,United States,ALLIED UNIVERSAL,NORTH AMERICA,2025-04-23,5,5,2,1,1
Technical Infrastructure,United States,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,2025-05-02,3,3,0,0,0
Access,India,VIRTUSA CORPORATION,APAC,2025-04-21,2,4,0,0,0
Research,United States,A.G. KUNZ LLC,NORTH AMERICA,2025-04-23,11,3,8,7,1
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,1,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-23,2,2,0,0,0
Geo,India,WIPRO LIMITED,APAC,2025-04-23,2,1,1,0,1
Technical Infrastructure,United Kingdom,SYNERGY SECURITY SOLUTIONS LIMITED,EMEA,2025-05-02,3,3,0,0,0
Technical Infrastructure,Australia,MSS SECURITY PTY LTD,APAC,2025-04-22,5,1,4,3,1
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-23,4,4,2,0,2
T&S,India,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,2025-04-21,4,3,1,0,1
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-24,2,2,0,0,0
gCS,India,ACCENTURE PLC,APAC,2025-04-25,3,1,2,1,1
gTech,India,GENPACT LIMITED,APAC,2025-04-23,3,4,1,1,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-04-30,11,3,8,8,0
T&S,India,WIPRO LIMITED,APAC,2025-05-02,3,3,0,0,0
T&S,Poland,MAJOREL GLOBAL,EMEA,2025-04-22,4,2,2,0,2
YouTube,India,CONCENTRIX,APAC,2025-04-21,3,2,1,1,0
Global Affairs (w/o T&S),Brazil,ACCENTURE PLC,LATAM,2025-04-30,5,5,2,2,0
REWS,India,JONES LANG LASALLE INC,APAC,2025-05-02,3,3,0,0,0
REWS,United States,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,2025-04-25,9,8,3,2,1
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-25,8,3,5,0,5
Access,United States,SORENSEN CRAIG F CONSTRUCTION INC,NORTH AMERICA,2025-05-01,3,1,2,1,1
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-25,8,2,6,0,6
REWS,India,SODEXO,APAC,2025-04-22,1,1,0,0,0
YouTube,India,CONCENTRIX,APAC,2025-04-24,4,5,1,1,0
T&S,India,WIPRO LIMITED,APAC,2025-04-25,4,2,2,1,1
gTech,India,TECH MAHINDRA LIMITED,APAC,2025-04-27,3,2,1,1,0
gTech,India,HCL TECHNOLOGIES LTD,APAC,2025-04-21,8,1,7,0,7
Corp Eng,India,LARSEN AND TOUBRO LIMITED,APAC,2025-04-29,3,5,0,0,0
Access,United States,DYCOM INDUSTRIES,NORTH AMERICA,2025-04-25,3,3,0,0,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-05-01,7,1,6,3,3
YouTube,Ireland,ACCENTURE PLC,EMEA,2025-04-23,4,5,1,1,0
Technical Infrastructure,null,TW CONSTRUCTORS LLC,NORTH AMERICA,2025-04-22,3,5,0,0,0
Devices & Services,United States,SIEMENS AG,NORTH AMERICA,2025-04-28,6,4,4,2,2
REWS,India,JONES LANG LASALLE INC,APAC,2025-04-22,1,1,0,0,0
Marketing,United States,MARVEL MARKETERS LLC,NORTH AMERICA,2025-04-24,4,3,3,0,3
gCS,India,WNS (HOLDINGS) LIMITED,APAC,2025-04-25,4,2,2,2,0
Cloud,United States,UJET INC,NORTH AMERICA,2025-05-02,8,2,6,4,2
Access,United States,NETCRACKER TECHNOLOGY CORPORATION,NORTH AMERICA,2025-04-22,2,4,0,0,0
Cloud,Philippines,HCL TECHNOLOGIES LTD,APAC,2025-05-02,5,5,2,2,0
Waymo,United States,TRANSDEV,NORTH AMERICA,2025-04-24,7,6,3,0,3
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,3,4,1,3
Technical Infrastructure,United States,"AKRAYA, INC",NORTH AMERICA,2025-04-28,3,5,0,0,0
REWS,United States,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,2025-04-30,4,5,1,0,1
REWS,United States,ARUP GROUP LIMITED,NORTH AMERICA,2025-04-24,11,1,10,0,10
Technical Infrastructure,United States,SAFETYMAX CORPORATION,NORTH AMERICA,2025-04-23,2,2,0,0,0
REWS,India,SODEXO,APAC,2025-04-23,2,2,0,0,0
gTech,India,HCL TECHNOLOGIES LTD,APAC,2025-04-22,3,5,0,0,0
Technical Infrastructure,United States,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,2025-05-01,7,6,3,3,0
gTech,India,VIRTUSA CORPORATION,APAC,2025-05-02,8,3,5,5,0
Technical Infrastructure,United States,M A MORTENSON COMPANY,NORTH AMERICA,2025-04-29,2,4,0,0,0
