product_area,st_created_date,work_order_accepted_date,location_country,worker_access_type,ST_start_date,st_start_month,pw_reset_date,supplier_name,location_region,hw_date_shipped,hw_estimated_delivery_date,hw_recd_dt,idv_date,idv_decision_date,idv_approval_date,idv_exception,gvc_invite_created_dt,worker_type,cnt_class_dates,net_onboarding_date,delivery_update,transfer_flag,bulk_shipment,manager_pref_for_hw_shipping,has_equipment,worker_active_flag,onboard_date_v2,sla_end_to_end,sla_end_to_end_exclude_weekend1,sla_xws_exclude_weekend1,sub_act,time_to_onboard_include_weekend,wo_adv_std_include_weekend,gvc_act,eqp_gvc,comp_eqp_include_weekend,time_to_onboard_exclude_weekend,wo_adv_std_exclude_weekend,comp_eqp_exclude_weekend,complaince_activation_exclude_weekend,xws_activation_to_idv,xws_idv_to_system_activation
YouTube,2025-04-13,2025-04-13,India,Access Only,2025-04-23,2025-04-01,2025-05-01,WIPRO LIMITED,APAC,null,null,2025-04-21,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-04-21,null,NO,null,null,Yes,2025-05-01,18,13,6,18,18,10,1,10,8,13,7,5,6,5,1
REWS,2025-04-29,2025-04-29,India,Badge Only,2025-05-02,2025-05-01,null,JONES LANG LASALLE INC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
POps,2025-04-22,2025-04-22,India,Access Only,2025-04-25,2025-04-01,2025-04-28,IBM CORPORATION,APAC,null,null,2025-04-25,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-27,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,6,4,1,6,6,3,1,2,3,4,3,3,1,0,1
REWS,2025-04-23,2025-04-23,United States,Access Only,2025-04-30,2025-04-01,2025-04-30,"INTER-CON SECURITY SYSTEMS, INC.",NORTH AMERICA,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,7,5,1,7,7,7,1,1,6,5,5,4,0,0,0
REWS,2025-04-23,2025-04-23,United States,Equipment and Access,2025-04-28,2025-04-01,2025-04-29,PFC GROUP OF COMPANIES,NORTH AMERICA,null,null,2025-04-24,2025-05-13,2025-04-29,2025-04-27,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-24,null,NO,null,null,Yes,2025-04-29,6,4,1,6,6,5,1,5,1,4,3,1,1,0,1
Cloud,2025-04-29,2025-04-29,India,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,2,1,3,3,1,0,0,0
gCS,2025-04-28,2025-04-28,Brazil,Access Only,2025-05-01,2025-05-01,2025-05-02,TTEC HOLDINGS INC,LATAM,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,4,4,1,4,4,3,1,2,2,4,3,2,1,1,0
T&S,2025-04-23,2025-04-23,India,Access Only,2025-04-25,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,null,2025-05-14,2025-04-30,2025-04-28,FALSE,2025-04-30,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,7,5,3,7,7,2,1,null,null,5,2,null,3,1,2
Geo,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-25,2025-04-01,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-24,2025-05-13,2025-04-29,2025-04-25,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,2,-1,5,1,3,2,1,1,0,1
Technical Infrastructure,2025-04-24,2025-04-24,null,Badge Only,2025-04-29,2025-04-01,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,null,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
REWS,2025-04-25,2025-04-25,United States,Equipment and Access,2025-04-30,2025-04-01,2025-05-02,SYSTEM ONE HOLDINGS LLC DBA TEAMPEOPLE,NORTH AMERICA,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-30,null,NO,null,null,Yes,2025-05-02,7,5,2,7,7,5,1,2,5,5,3,3,2,2,0
gTech,2025-04-28,2025-04-28,India,Equipment and Access,2025-05-01,2025-05-01,2025-05-04,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-05-02,2025-05-17,2025-05-03,2025-05-02,FALSE,null,Vendor,1,2025-05-04,2025-05-02,null,NO,null,null,Yes,2025-05-04,6,5,2,6,6,3,null,null,4,5,3,4,2,1,1
DeepMind,2025-04-09,2025-04-09,United States,Equipment and Access,2025-04-14,2025-04-01,2025-04-29,BUCK DESIGN LLC,NORTH AMERICA,null,null,2025-04-21,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-29,2025-04-21,null,NO,null,NO,Yes,2025-04-29,20,14,11,20,20,5,1,7,12,14,3,8,11,10,1
Waymo,2025-04-24,2025-04-24,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-24,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-24,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,1,4,1,2,2,1,0,0,0
Cloud,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-04-28,VIRTUSA CORPORATION,APAC,null,null,2025-04-25,2025-05-12,2025-04-28,2025-04-27,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,1,3,1,2,2,1,0,0,0
gTech,2025-04-22,2025-04-22,India,Equipment and Access,2025-04-23,2025-04-01,2025-04-28,VACO,APAC,null,null,2025-04-28,2025-05-07,2025-04-23,2025-04-23,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,6,4,3,6,6,1,1,0,6,4,1,4,3,0,3
Technical Infrastructure,2025-04-28,2025-04-28,null,Badge Only,2025-05-01,2025-05-01,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,null,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
POps,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,RANDSTAD NV,APAC,null,null,2025-04-26,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-26,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,1,2,3,3,3,3,0,0,0
POps,2025-04-25,2025-04-25,India,Access Only,2025-04-29,2025-04-01,2025-05-01,ACCENTURE PLC,APAC,null,null,2025-04-30,2025-05-13,2025-04-29,2025-04-28,FALSE,2025-05-01,Vendor,1,2025-05-01,2025-04-30,null,NO,null,null,Yes,2025-05-01,6,4,2,6,6,4,1,1,5,4,2,3,2,0,2
Cloud,2025-04-24,2025-04-24,Romania,Equipment and Access,2025-04-28,2025-04-01,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EMEA,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-28,null,NO,null,null,Yes,2025-04-30,6,4,2,6,6,4,1,2,4,4,2,2,2,2,0
gTech,2025-04-29,2025-04-29,India,Equipment and Access,2025-05-02,2025-05-01,2025-05-04,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-30,2025-05-16,2025-05-02,2025-05-02,FALSE,null,Vendor,1,2025-05-04,2025-04-30,null,NO,null,null,Yes,2025-05-04,5,4,1,5,5,3,null,null,1,4,3,1,1,0,1
T&S,2025-04-22,2025-04-22,India,Access Only,2025-04-23,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,2025-04-25,2025-05-08,2025-04-24,2025-04-23,FALSE,2025-04-26,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,6,4,3,6,6,1,2,1,3,4,1,3,3,0,3
YouTube,2025-04-29,2025-04-29,India,Access Only,2025-05-02,2025-05-01,2025-05-02,WIPRO LIMITED,APAC,null,null,2025-05-01,2025-05-16,2025-05-02,2025-05-01,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,1,2,3,3,2,0,0,0
Waymo,2025-04-22,2025-04-22,United States,Access Only,2025-04-24,2025-04-01,2025-05-01,TRANSDEV,NORTH AMERICA,null,null,null,2025-05-12,2025-04-28,2025-04-24,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,9,7,5,9,9,2,null,null,null,7,2,null,5,0,5
Technical Infrastructure,2025-04-27,2025-04-27,Denmark,Badge Only,2025-05-01,2025-05-01,null,QVISTGAARD IS,EMEA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,YES,Yes,2025-05-01,4,3,1,4,4,4,null,null,null,3,3,null,0,0,0
Global Affairs (w/o T&S),2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-21,2025-04-01,2025-04-30,"CONSILIO, INC",NORTH AMERICA,null,null,2025-04-24,2025-05-14,2025-04-30,2025-04-21,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-24,null,NO,null,null,Yes,2025-04-30,13,9,7,13,13,4,1,6,7,9,2,5,7,0,7
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-05-01,2025-05-01,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Geo,2025-04-28,2025-04-28,India,Equipment and Access,2025-04-30,2025-04-01,2025-04-30,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,APAC,null,null,2025-04-29,2025-05-14,2025-04-30,2025-04-29,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-29,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,1,1,1,2,2,1,0,0,0
POps,2025-04-10,2025-04-10,India,Equipment and Access,2025-04-14,2025-04-01,2025-04-30,RANDSTAD NV,APAC,null,null,null,2025-05-08,2025-04-24,2025-04-20,FALSE,2025-04-30,Vendor,1,2025-04-30,null,null,NO,null,NO,Yes,2025-04-30,20,14,12,20,20,4,1,null,null,14,2,null,12,5,7
Marketing,2025-04-23,2025-04-23,United States,Equipment and Access,2025-04-25,2025-04-01,2025-04-29,ACCENTURE PLC,NORTH AMERICA,null,null,2025-04-29,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-29,null,NO,null,null,Yes,2025-04-29,6,4,2,6,6,2,1,0,6,4,2,4,2,0,2
Geo,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,-1,1,4,2,2,2,0,0,0
Technical Infrastructure,2025-04-24,2025-04-24,null,Badge Only,2025-04-29,2025-04-01,null,"ROONEY HOLDINGS, INC.",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-29,null,null,NO,null,null,null,2025-04-29,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-25,2025-04-25,India,Badge Only,2025-04-28,2025-04-01,null,ERICSSON INC,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,null,NO,null,null,Yes,2025-04-28,3,1,1,3,3,3,null,null,null,1,1,null,0,0,0
POps,2025-04-23,2025-04-23,India,Access Only,2025-04-28,2025-04-01,null,DELOITTE,APAC,null,null,null,2025-05-11,2025-04-27,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,YES,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
gCS,2025-04-21,2025-04-21,India,Equipment and Access,2025-04-22,2025-04-01,2025-04-29,ACCENTURE PLC,APAC,null,null,null,2025-05-06,2025-04-22,2025-04-22,FALSE,2025-04-29,Vendor,1,2025-04-29,null,null,NO,null,null,Yes,2025-04-29,8,6,5,8,8,1,1,null,null,6,1,null,5,0,5
T&S,2025-04-29,2025-04-29,Philippines,Equipment and Access,2025-05-02,2025-05-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-05-02,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,0,3,3,3,3,0,0,0
Platforms + Ecosystems,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-28,2025-04-01,2025-04-30,HCL TECHNOLOGIES LTD,APAC,null,null,2025-04-30,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-30,null,NO,null,null,Yes,2025-04-30,7,5,2,7,7,5,1,0,7,5,3,5,2,0,2
REWS,2025-04-29,2025-04-29,Taiwan,Badge Only,2025-05-02,2025-05-01,null,"LIANG PIN DINING CO., LTD.",APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
T&S,2025-04-22,2025-04-22,India,Access Only,2025-04-23,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,2025-04-25,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,6,4,3,6,6,1,1,3,3,4,1,3,3,1,2
gTech,2025-04-22,2025-04-22,India,Access Only,2025-04-24,2025-04-01,2025-04-28,VIRTUSA CORPORATION,APAC,null,null,2025-04-23,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,6,4,2,6,6,2,1,5,1,4,2,1,2,2,0
Cloud,2025-04-22,2025-04-25,India,Equipment and Access,2025-04-30,2025-04-01,2025-05-02,OPTIMUM INFOSYSTEMS PVT. LTD.,APAC,null,null,2025-05-02,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-05-02,Temp,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,10,5,2,10,10,8,1,0,10,5,3,8,2,0,2
POps,2025-04-25,2025-04-25,United States,Equipment and Access,2025-04-28,2025-04-01,2025-04-29,VACO,NORTH AMERICA,null,null,2025-04-29,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-29,null,NO,null,null,Yes,2025-04-29,4,2,1,4,4,3,1,0,4,2,1,2,1,1,0
Finance,2025-04-18,2025-04-18,United States,Equipment and Access,2025-04-22,2025-04-01,2025-04-28,MCKINSEY & COMPANY,NORTH AMERICA,null,null,2025-04-22,2025-05-12,2025-04-28,2025-04-22,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-22,null,NO,null,null,Yes,2025-04-28,10,6,4,10,10,4,1,6,4,6,2,2,4,0,4
T&S,2025-04-29,2025-04-29,India,Access Only,2025-05-02,2025-05-01,2025-05-02,WIPRO LIMITED,APAC,null,null,2025-05-01,2025-05-15,2025-05-01,2025-04-30,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-01,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,1,1,2,3,3,2,0,0,0
gTech,2025-04-23,2025-04-23,Poland,Equipment and Access,2025-04-28,2025-04-01,null,TELEPERFORMANCE SE,EMEA,null,null,null,null,null,2025-05-01,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,NO,Yes,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
Technical Infrastructure,2025-04-28,2025-04-28,null,Badge Only,2025-05-01,2025-05-01,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,null,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Devices & Services,2025-04-23,2025-04-23,null,Equipment and Access,2025-04-28,2025-04-01,null,TESSOLVE SEMICONDUCTOR PVT LTD,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-28,null,TRANSFER-Starters list,NO,null,null,null,2025-04-28,5,3,1,5,5,5,null,null,null,3,3,null,0,0,0
gCS,2025-04-21,2025-04-21,India,Access Only,2025-04-28,2025-04-01,2025-04-29,TELEDIRECT PTE LTD,APAC,null,null,2025-04-23,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-23,null,NO,null,null,Yes,2025-04-29,8,6,1,8,8,7,1,6,2,6,5,2,1,1,0
YouTube,2025-04-23,2025-04-23,United States,Access Only,2025-04-29,2025-04-01,2025-04-30,TELEPERFORMANCE SE,NORTH AMERICA,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-30,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-28,null,NO,null,null,Yes,2025-04-30,7,5,1,7,7,6,1,2,5,5,4,3,1,1,0
GBO (w/o gTech & gCS),2025-04-11,2025-04-15,United States,Equipment and Access,2025-04-22,2025-04-01,2025-04-28,"MAGNIT, LLC",NORTH AMERICA,null,null,2025-04-25,2025-05-05,2025-04-21,2025-04-21,FALSE,2025-04-28,Temp,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,17,9,4,17,17,11,1,3,14,9,5,10,4,0,4
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-05-01,2025-05-01,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-01,null,null,NO,null,null,Yes,2025-05-01,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
T&S,2025-04-22,2025-04-22,Ireland,Equipment and Access,2025-04-24,2025-04-01,2025-04-29,ACCENTURE PLC,EMEA,null,null,2025-04-28,2025-05-14,2025-04-30,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-29,2025-04-28,null,NO,null,null,Yes,2025-04-29,7,5,3,7,7,2,1,0,6,5,2,4,3,0,3
Technical Infrastructure,2025-04-14,2025-04-14,United States,Equipment and Access,2025-04-17,2025-04-01,2025-04-29,FORTIS CONSTRUCTION INC,NORTH AMERICA,null,null,2025-04-16,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-29,2025-04-16,null,NO,null,NO,Yes,2025-04-29,15,11,8,15,15,3,1,12,2,11,3,2,8,7,1
YouTube,2025-04-21,2025-04-21,Portugal,Access Only,2025-04-24,2025-04-01,2025-04-30,GENPACT LIMITED,EMEA,null,null,2025-04-23,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-30,2025-04-23,null,NO,null,null,Yes,2025-04-30,9,7,4,9,9,3,1,6,2,7,3,2,4,3,1
YouTube,2025-04-23,2025-04-23,Ireland,Equipment and Access,2025-04-25,2025-04-01,2025-04-28,ACCENTURE PLC,EMEA,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,2,1,0,5,3,2,3,1,1,0
T&S,2025-04-23,2025-04-23,India,Access Only,2025-04-25,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,2025-04-30,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-30,Vendor,1,2025-04-30,2025-04-30,null,NO,null,null,Yes,2025-04-30,7,5,3,7,7,2,1,0,7,5,2,5,3,0,3
Technical Infrastructure,2025-04-22,2025-04-22,United States,Equipment and Access,2025-04-24,2025-04-01,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-23,2025-05-10,2025-04-26,2025-04-25,FALSE,2025-04-26,Vendor,1,2025-04-28,2025-04-23,null,NO,null,null,Yes,2025-04-28,6,4,2,6,6,2,2,3,1,4,2,1,2,1,1
Technical Infrastructure,2025-04-28,2025-04-28,United States,Badge Only,2025-04-30,2025-04-01,null,"HOLDER CONSTRUCTION GROUP, LLC",NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,null,null,null,2,2,null,0,0,0
Access,2025-04-23,2025-04-23,United States,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,NETCRACKER TECHNOLOGY CORPORATION,NORTH AMERICA,null,null,2025-04-25,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,5,1,3,2,3,3,2,0,0,0
Technical Infrastructure,2025-04-29,2025-04-29,null,Badge Only,2025-05-02,2025-05-01,null,J E DUNN CONSTRUCTION COMPANY,NORTH AMERICA,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,null,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
YouTube,2025-04-22,2025-04-22,India,Access Only,2025-04-24,2025-04-01,2025-04-28,TELEPERFORMANCE SE,APAC,null,null,2025-04-22,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-22,null,NO,null,null,Yes,2025-04-28,6,4,2,6,6,2,1,6,1,4,2,1,2,0,2
Technical Infrastructure,2025-04-02,2025-04-02,Germany,Equipment and Access,2025-04-08,2025-04-01,2025-04-28,SCHENKER,EMEA,null,null,2025-04-25,2025-05-08,2025-04-24,2025-04-08,FALSE,2025-04-26,Vendor,1,2025-04-28,2025-04-25,null,NO,null,NO,Yes,2025-04-28,26,18,14,26,26,6,2,1,23,18,4,17,14,0,14
REWS,2025-04-11,2025-04-11,United States,Equipment and Access,2025-04-18,2025-04-01,2025-05-02,JONES LANG LASALLE INC,NORTH AMERICA,null,null,2025-05-02,2025-05-16,2025-05-02,2025-04-18,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,21,15,10,21,21,7,1,0,21,15,5,15,10,0,10
POps,2025-04-23,2025-04-23,United States,Access Only,2025-04-25,2025-04-01,2025-04-28,ACCENTURE PLC,NORTH AMERICA,null,null,2025-04-28,2025-05-09,2025-04-25,2025-04-25,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,5,3,1,5,5,2,1,0,5,3,2,3,1,0,1
T&S,2025-04-22,2025-04-22,India,Access Only,2025-04-23,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,2025-04-25,2025-05-08,2025-04-24,2025-04-24,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,6,4,3,6,6,1,1,3,3,4,1,3,3,1,2
Technical Infrastructure,2025-04-25,2025-04-25,India,Equipment and Access,2025-04-29,2025-04-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-05-02,2025-05-16,2025-05-02,2025-05-02,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-05-02,null,NO,null,null,Yes,2025-05-02,7,5,3,7,7,4,1,0,7,5,2,5,3,3,0
Waymo,2025-04-28,2025-04-28,India,Access Only,2025-04-30,2025-04-01,2025-04-30,WIPRO LIMITED,APAC,null,null,null,2025-05-15,2025-05-01,2025-04-30,FALSE,2025-05-01,Vendor,1,2025-04-30,null,null,NO,null,null,Yes,2025-04-30,2,2,1,2,2,2,-1,null,null,2,2,null,0,0,0
gTech,2025-04-23,2025-04-23,United States,Equipment and Access,2025-04-29,2025-04-01,2025-04-29,VACO,NORTH AMERICA,null,null,2025-04-25,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-04-29,Vendor,1,2025-04-29,2025-04-25,null,NO,null,null,Yes,2025-04-29,6,4,1,6,6,6,1,4,2,4,4,2,0,0,0
Geo,2025-04-24,2025-04-24,India,Access Only,2025-04-28,2025-04-01,2025-04-28,WIPRO LIMITED,APAC,null,null,2025-04-28,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-29,Vendor,1,2025-04-28,2025-04-28,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,-1,1,4,2,2,2,0,0,0
REWS,2025-04-17,2025-04-17,United States,Access Only,2025-04-21,2025-04-01,2025-04-28,GARDA WORLD SECURITY CORPORATION,NORTH AMERICA,null,null,2025-04-21,2025-05-10,2025-04-26,2025-04-25,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-21,null,NO,null,null,Yes,2025-04-28,11,7,5,11,11,4,1,7,4,7,2,2,5,4,1
Access,2025-04-17,2025-04-17,United States,Equipment and Access,2025-04-18,2025-04-01,2025-04-28,SORENSEN CRAIG F CONSTRUCTION INC,NORTH AMERICA,null,null,2025-04-17,2025-05-12,2025-04-28,2025-04-18,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-17,null,NO,null,null,Yes,2025-04-28,11,7,6,11,11,1,1,11,1,7,1,1,6,0,6
REWS,2025-04-29,2025-04-29,India,Badge Only,2025-05-02,2025-05-01,null,SODEXO,APAC,null,null,null,null,null,null,FALSE,null,Vendor,1,2025-05-02,null,null,NO,null,null,Yes,2025-05-02,3,3,1,3,3,3,null,null,null,3,3,null,0,0,0
Cloud,2025-04-14,2025-04-14,India,Access Only,2025-04-17,2025-04-01,2025-05-02,CLOUDSUFI INC.,APAC,null,null,2025-04-15,2025-05-16,2025-05-02,2025-04-17,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-15,null,NO,null,YES,Yes,2025-05-02,18,14,11,18,18,3,1,17,1,14,3,1,11,0,11
Technical Infrastructure,2025-04-23,2025-04-23,India,Equipment and Access,2025-04-25,2025-04-01,2025-05-02,ACCENTURE PLC,APAC,null,null,2025-04-24,2025-05-13,2025-04-29,2025-04-29,FALSE,2025-05-02,Vendor,1,2025-05-02,2025-04-24,null,NO,null,null,Yes,2025-05-02,9,7,5,9,9,2,1,8,1,7,2,1,5,2,3
Technical Infrastructure,2025-04-24,2025-04-24,United States,Equipment and Access,2025-04-28,2025-04-01,2025-04-28,GXO LOGISTICS WORLDWIDE LLC,NORTH AMERICA,null,null,2025-04-25,2025-05-12,2025-04-28,2025-04-28,FALSE,2025-04-28,Vendor,1,2025-04-28,2025-04-25,null,NO,null,null,Yes,2025-04-28,4,2,1,4,4,4,1,3,1,2,2,1,0,0,0
